,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,runtime
7544,1832,Dogma,1999-11-12,"['Fantasy', 'Comedy', 'Adventure']",English,6.9,2202,14.068,"The latest battle in the eternal war between Good and Evil has come to New Jersey in the late, late 20th Century. Angels, demons, apostles and prophets (of a sort) walk among the cynics and innocents of America and duke it out for the fate of humankind.",130
7545,514995,Gully,2021-06-04,"['Drama', 'Crime']",English,5.5,39,13.963,"A slightly dystopian vision of LA, we follow three disaffected teenagers, Jessie, Calvin and Nicky, all victims of extreme childhoods, running supreme hedonistic riot as they try to work out a way in life.",81
7546,172329,One Piece: Episode of Luffy - Hand Island Adventure,2012-12-15,"['Action', 'Animation', 'Adventure', 'Comedy', 'Drama']",Japanese,6.8,38,14.211,As Luffy and the crew were attacked by several marine warship they were forced to use Coup de Burst to escape. Crash landing on an island the crew decided to explore while some repairment is made. Upon meeting an wax artisan and learning the truth behind the island Luffy offer his help.,102
7547,72768,The Butcher,1998-01-21,['Drama'],Italian,6.3,128,11.317,"Alina is married to Daniele, a famous conductor. While Daniele is away, she finds herself attracted to Bruno, a butcher. One day, Bruno left a message… “Tomorrow morning I’ll knock on your door. If you don’t want me, don’t be there.” Next morning Bruno keeps his word. The apartment door is ajar. He finds Alina on a sofa, pale, bathed in sweat, fearful and expectant. While Daniele conducts his final concert in Samarkand, Bruno and Alina make love in every way imaginable… and Alina will never be the same.",86
7548,12819,Alpha and Omega,2010-09-17,"['Animation', 'Family', 'Comedy', 'Adventure', 'Romance']",English,5.9,460,13.569,"Two young wolves at opposite ends of their pack's social order are thrown together into a foreign land and need each other to return home, but love complicates everything.",88
7549,11355,Never Been Kissed,1999-04-09,"['Romance', 'Comedy', 'Drama']",English,6.2,1334,15.067,"Josie Geller, a baby-faced junior copywriter at the Chicago Sun-Times, must pose as a student at her former high school to research contemporary teenage culture. With the help of her brother, Rob, Josie infiltrates the inner circle of the most popular clique on campus. But she hits a major snag in her investigation -- not to mention her own failed love life -- when she falls for her dreamy English teacher, Sam Coulson.",107
7550,10761,Made of Honor,2008-04-30,"['Comedy', 'Romance']",English,6.4,1496,12.068,"Tom and Hannah have been platonic friends for 10 years. He's a serial dater, while she wants marriage but hasn't found Mr. Right. Just as Tom is starting to think that he is relationship material after all, Hannah gets engaged. When she asks Tom to be her 'maid' of honor, he reluctantly agrees just so he can attempt to stop the wedding and woo her.",101
7551,12703,The Brown Bunny,2004-04-07,['Drama'],English,5.4,182,14.067,"Bud Clay races motorcycles in the 250cc Formula II class of road racing. After a race in New Hampshire, he has five days to get to his next race in California. During his road trip, he is haunted by memories of the last time he saw Daisy, his true love.",93
7552,2122,The Whole Ten Yards,2004-04-07,"['Comedy', 'Thriller', 'Crime']",English,5.7,832,14.317,"Jimmy ""The Tulip"" Tudeski now spends his days compulsively cleaning his house and perfecting his culinary skills with his wife, Jill, a purported assassin who has yet to pull off a clean hit. Suddenly, an uninvited and unwelcome connection to their past unexpectedly shows up on Jimmy and Jill's doorstep; it's Oz, and he's begging them to help him rescue his wife, Cynthia.",98
7553,17681,Scooby-Doo! and the Witch's Ghost,1999-11-05,"['Animation', 'Comedy', 'Mystery', 'Family', 'Fantasy']",English,7.4,357,11.316,"Scooby-Doo and the Mystery Gang visit Oakhaven, Massachusetts to seek strange goings on involving a famous horror novelist and his ancestor who is rumored be a witch.",70
7554,14711,Afro Samurai: Resurrection,2009-10-16,"['Animation', 'Action']",English,7.0,153,13.817,Afro Samurai avenged his father and found a life of peace. But the legendary master is forced back into the game by a beautiful and deadly woman from his past. The sparks of violence dropped along Afro’s bloody path now burn out of control – and nowhere are the flames of hatred more intense than in the eyes of Sio.,101
7555,270007,Take Down,2016-05-05,['Thriller'],English,5.9,165,11.321,"Sons and daughters of international billionaires are sent to an boot camp where they are taught basic survival skills in hopes it will teach them responsibility. When they are taken hostage and taken for ransom by kidnappers, they will need to utilize every skill they learned to survive.",107
7556,50507,Crazy Safari,1991-07-05,"['Action', 'Comedy']",Cantonese,4.7,38,8.261,"Two guys, one of them a magician, are transporting an ancient chinese vampire who can only be controlled by a series of yellow tapes, and is the ancestor of the other guy. On the way, while flying over Africa, their plane stalls. And of all places, where do they land? That's right, in the village of the tribe of ""The Gods Must Be Crazy"".",96
7557,11802,Space Chimps,2008-06-25,"['Animation', 'Family', 'Adventure', 'Comedy', 'Science Fiction']",English,4.8,394,11.817,Three chimps are sent into space to explore the possibility of alien life when an unmanned space shuttle crash lands on an uncharted planet.,81
7558,902,The City of Lost Children,1995-08-17,"['Fantasy', 'Science Fiction', 'Adventure']",French,7.3,917,14.815,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",108
